Pa	Ch
g_421	g_1
g_2872	g_1
g_8782	g_1
g_5227	g_1
g_566	g_1
g_2778	g_2
g_4756	g_2
g_7430	g_2
g_4191	g_2
g_7794	g_3
g_438	g_3
g_6387	g_3
g_9788	g_3
g_277	g_3
g_4961	g_3
g_4286	g_3
g_2121	g_3
g_8685	g_4
g_1125	g_4
g_7656	g_4
g_3036	g_4
g_6561	g_4
g_9223	g_4
g_6952	g_4
g_8192	g_4
g_6650	g_5
g_6365	g_5
g_841	g_5
g_7680	g_5
g_7914	g_5
g_4625	g_5
g_6248	g_5
g_2363	g_6
g_747	g_6
g_2175	g_6
g_2103	g_6
g_7607	g_6
g_636	g_6
g_8691	g_7
g_8157	g_7
g_1635	g_7
g_6886	g_7
g_8830	g_7
g_6632	g_7
g_9797	g_7
g_8202	g_7
g_962	g_7
g_471	g_9
g_5178	g_9
g_5920	g_9
g_9142	g_9
g_602	g_9
g_7313	g_9
g_1677	g_10
g_9188	g_10
g_1842	g_10
g_8505	g_10
g_9607	g_10
g_6030	g_10
g_868	g_11
g_3726	g_11
g_6625	g_11
g_1597	g_11
g_4410	g_11
g_9850	g_11
g_6704	g_11
g_7226	g_11
g_5774	g_11
g_1114	g_11
g_2568	g_12
g_560	g_12
g_9233	g_12
g_878	g_12
g_7409	g_12
g_1222	g_13
g_417	g_13
g_6893	g_13
g_6242	g_13
g_2863	g_14
g_3250	g_14
g_8850	g_14
g_7518	g_14
g_4068	g_15
g_1877	g_15
g_299	g_15
g_1846	g_15
g_9368	g_15
g_3557	g_15
g_7822	g_15
g_5969	g_15
g_4519	g_17
g_5921	g_17
g_8138	g_17
g_3361	g_17
g_3070	g_18
g_4987	g_18
g_2487	g_18
g_8186	g_18
g_2542	g_18
g_776	g_18
g_2972	g_18
g_5741	g_18
g_9461	g_19
g_4170	g_19
g_4052	g_20
g_6431	g_20
g_6230	g_21
g_6364	g_21
g_9840	g_21
g_376	g_21
g_2713	g_21
g_4422	g_22
g_4999	g_22
g_1877	g_22
g_2980	g_22
g_4163	g_22
g_5728	g_22
g_3785	g_23
g_410	g_23
g_8450	g_23
g_2122	g_23
g_759	g_23
g_9553	g_24
g_271	g_24
g_3536	g_24
g_7232	g_24
g_7380	g_25
g_1366	g_25
g_2129	g_25
g_2710	g_25
g_2150	g_25
g_9725	g_25
g_7028	g_25
g_705	g_26
g_5265	g_26
g_1678	g_26
g_5066	g_26
g_1416	g_26
g_3504	g_26
g_3913	g_26
g_8054	g_27
g_1446	g_27
g_7069	g_27
g_1045	g_27
g_1301	g_27
g_7275	g_27
g_1768	g_27
g_4059	g_27
g_635	g_27
g_9957	g_28
g_4138	g_28
g_6472	g_28
g_8859	g_29
g_6997	g_30
g_4787	g_30
g_9169	g_30
g_7461	g_30
g_7568	g_30
g_2306	g_31
g_7203	g_31
g_2713	g_31
g_7085	g_32
g_6955	g_32
g_1536	g_32
g_2304	g_32
g_656	g_32
g_8589	g_32
g_6389	g_32
g_4026	g_32
g_4004	g_32
g_337	g_33
g_4117	g_33
g_9109	g_33
g_9360	g_33
g_1540	g_33
g_2999	g_33
g_6136	g_33
g_780	g_33
g_9908	g_33
g_746	g_33
g_3102	g_33
g_75	g_33
g_7640	g_33
g_847	g_34
g_2489	g_34
g_3412	g_34
g_7937	g_34
g_6972	g_34
g_1314	g_35
g_6125	g_36
g_1300	g_36
g_2986	g_36
g_7809	g_36
g_5003	g_36
g_9583	g_37
g_7065	g_37
g_8262	g_37
g_550	g_37
g_2239	g_37
g_2869	g_37
g_2108	g_37
g_1223	g_37
g_3244	g_37
g_3271	g_37
g_8815	g_38
g_7159	g_38
g_3546	g_38
g_5897	g_38
g_5989	g_38
g_576	g_39
g_6371	g_40
g_8643	g_40
g_535	g_40
g_6444	g_40
g_5528	g_41
g_7632	g_41
g_5222	g_41
g_1341	g_41
g_4893	g_41
g_7314	g_41
g_4177	g_41
g_1100	g_41
g_7238	g_41
g_9427	g_41
g_5820	g_41
g_2195	g_42
g_5406	g_42
g_7328	g_42
g_4182	g_42
g_2821	g_42
g_7103	g_42
g_4428	g_43
g_5856	g_43
g_600	g_43
g_5404	g_44
g_1556	g_44
g_6101	g_44
g_3120	g_44
g_8801	g_44
g_2554	g_44
g_5070	g_44
g_6734	g_44
g_690	g_44
g_3443	g_44
g_88	g_44
g_2755	g_45
g_2777	g_45
g_7910	g_45
g_8891	g_45
g_6123	g_45
g_2671	g_45
g_3831	g_45
g_1717	g_45
g_6578	g_45
g_9223	g_45
g_6367	g_46
g_7647	g_46
g_3540	g_46
g_6517	g_47
g_4758	g_47
g_4135	g_47
g_5888	g_47
g_8455	g_47
g_6143	g_47
g_4289	g_47
g_3153	g_48
g_4176	g_48
g_7545	g_49
g_2365	g_49
g_115	g_49
g_8095	g_50
g_238	g_50
g_761	g_50
g_6323	g_51
g_4032	g_51
g_6946	g_51
g_8745	g_51
g_6181	g_51
g_9634	g_51
g_8442	g_51
g_6415	g_51
g_4732	g_52
g_3673	g_52
g_7468	g_53
g_1032	g_53
g_7039	g_53
g_3312	g_53
g_7507	g_53
g_7832	g_54
g_5610	g_54
g_8196	g_54
g_4870	g_54
g_4858	g_55
g_2148	g_55
g_9197	g_55
g_5637	g_55
g_5249	g_55
g_8100	g_55
g_4898	g_55
g_7002	g_56
g_752	g_56
g_4287	g_58
g_1536	g_58
g_4096	g_58
g_1715	g_58
g_7300	g_58
g_2976	g_58
g_4688	g_58
g_1323	g_58
g_6831	g_58
g_3866	g_59
g_1846	g_59
g_3668	g_59
g_8445	g_60
g_9086	g_60
g_5555	g_60
g_7623	g_60
g_2083	g_60
g_2748	g_60
g_1833	g_60
g_1270	g_60
g_4330	g_60
g_6431	g_60
g_6621	g_60
g_8441	g_61
g_2679	g_61
g_4184	g_61
g_7835	g_61
g_7685	g_61
g_989	g_61
g_7666	g_61
g_8579	g_61
g_2715	g_61
g_2584	g_61
g_8032	g_62
g_5370	g_62
g_1332	g_62
g_1654	g_62
g_411	g_62
g_2358	g_62
g_1443	g_62
g_4790	g_62
g_5310	g_62
g_146	g_62
g_8098	g_63
g_6609	g_63
g_9619	g_63
g_2388	g_63
g_1822	g_63
g_1070	g_63
g_4275	g_63
g_2407	g_63
g_1752	g_63
g_4482	g_64
g_710	g_65
g_9725	g_65
g_1029	g_65
g_2993	g_65
g_7668	g_65
g_6295	g_65
g_1346	g_66
g_9498	g_67
g_1792	g_67
g_8632	g_67
g_6039	g_67
g_6756	g_67
g_6395	g_67
g_8755	g_67
g_4587	g_68
g_8129	g_68
g_6355	g_68
g_2068	g_68
g_3044	g_68
g_171	g_68
g_4526	g_68
g_5307	g_69
g_9606	g_69
g_6388	g_70
g_1988	g_70
g_3717	g_70
g_1529	g_71
g_3988	g_71
g_4797	g_71
g_9898	g_71
g_3686	g_71
g_691	g_71
g_5940	g_71
g_5733	g_72
g_1966	g_72
g_9178	g_72
g_8235	g_72
g_232	g_72
g_8391	g_72
g_9504	g_73
g_4503	g_73
g_2195	g_73
g_3787	g_73
g_9614	g_73
g_5534	g_73
g_9515	g_74
g_1427	g_74
g_9442	g_74
g_9709	g_75
g_2425	g_75
g_7369	g_75
g_6341	g_76
g_2354	g_76
g_7004	g_76
g_4532	g_76
g_9163	g_76
g_5029	g_76
g_8249	g_76
g_3674	g_76
g_5294	g_76
g_5369	g_76
g_7797	g_77
g_1687	g_77
g_2643	g_77
g_2619	g_78
g_7706	g_78
g_1827	g_78
g_8164	g_78
g_4703	g_78
g_8785	g_78
g_6244	g_78
g_2847	g_79
g_8849	g_79
g_3590	g_79
g_8513	g_79
g_2764	g_79
g_4842	g_79
g_7141	g_79
g_9205	g_79
g_2549	g_79
g_864	g_79
g_5485	g_79
g_2922	g_80
g_3808	g_80
g_6494	g_80
g_7670	g_80
g_9672	g_80
g_8478	g_80
g_5911	g_81
g_9542	g_82
g_2686	g_82
g_9492	g_82
g_7006	g_82
g_5403	g_82
g_3699	g_83
g_9248	g_83
g_4813	g_83
g_1707	g_83
g_1412	g_83
g_1903	g_83
g_4029	g_83
g_9578	g_83
g_718	g_84
g_3612	g_84
g_1195	g_84
g_9923	g_85
g_602	g_85
g_3814	g_85
g_2084	g_86
g_1482	g_86
g_7006	g_86
g_2543	g_87
g_4700	g_87
g_8743	g_87
g_2910	g_87
g_3744	g_88
g_6911	g_88
g_2384	g_88
g_2715	g_88
g_7209	g_88
g_2228	g_89
g_3110	g_89
g_5058	g_89
g_8009	g_89
g_635	g_89
g_3217	g_89
g_6659	g_89
g_1906	g_90
g_7375	g_90
g_3644	g_90
g_4734	g_90
g_1433	g_91
g_1940	g_91
g_8828	g_91
g_5609	g_91
g_284	g_91
g_4953	g_91
g_9491	g_91
g_1939	g_91
